feature,importance_rf,importance_xgb
rolling_14d,0.31760531632057554,0.112770274
unit_price_brl,0.1743827272959696,0.045035798
day_of_month,0.08300987300618867,0.031290457
week_of_year,0.07588587819022567,0.034673043
rolling_7d,0.06449344311458859,0.05568227
quantity_14d,0.049503619859588815,0.028247254
quantity_7d,0.04769199602904028,0.024255363
day_of_week,0.040517469634610906,0.025797278
rolling_1d,0.026734365884449635,0.02385326
quantity_1d,0.025798478252617635,0.02399665
month,0.02578485453084547,0.030934127
weather_condition_Ensolarado,0.011905151290394546,0.03711356
weather_condition_Chuva Leve,0.01138751881627731,0.028292771
weather_condition_Nublado,0.008786942375907837,0.028404426
product_name_Bag Delivery 45L,0.007338510324991043,0.06813637
weather_condition_Chuva Forte,0.006560032783994728,0.025276268
product_name_Capa de Chuva,0.006344370397170426,0.041895498
is_weekend,0.005197638884635779,0.048380204
product_name_Luva Motoboy,0.003842046138308238,0.031235447
product_name_Bag Delivery 80L,0.001853706297087353,0.019011056
product_name_Suporte Celular Moto,0.001616292880242449,0.0517047
product_name_Baú Moto 30L,0.001135239591289123,0.025724744
product_name_Retrovisor Esportivo,0.0008411679867493866,0.018319
product_name_Carregador USB Moto,0.0007856362447292785,0.018105973
product_name_Capacete Pro Tork,0.0005531879771679402,0.022277124
product_name_Balaclava,0.00034317393954402223,0.02167297
product_name_Intercomunicador,6.348145839925264e-05,0.041003287
product_name_Capacete LS2,3.788049441051412e-05,0.03691078
