product_name,model_name,MAE,RMSE,MAPE,total_actual_quantity,total_predicted_quantity,error_direction,total_error
Bag Delivery 45L,Random Forest,2.32,3.08,70.92,402.0,343.82,Underprediction,-58.18000000000001
Bag Delivery 45L,XGBoost,2.36,3.16,69.65,402.0,323.41,Underprediction,-78.58999999999997
Bag Delivery 80L,Random Forest,1.55,1.84,59.42,152.0,148.05,Underprediction,-3.9499999999999886
Bag Delivery 80L,XGBoost,1.5,1.85,53.05,152.0,132.41,Underprediction,-19.590000000000003
Balaclava,Random Forest,1.0,1.27,40.51,90.0,103.16,Overprediction,13.159999999999997
Balaclava,XGBoost,0.94,1.25,38.95,90.0,89.15,Underprediction,-0.8499999999999943
Baú Moto 30L,Random Forest,1.19,1.56,45.19,130.0,117.1,Underprediction,-12.900000000000006
Baú Moto 30L,XGBoost,1.15,1.51,44.62,130.0,106.08,Underprediction,-23.92
Capa de Chuva,Random Forest,2.07,2.46,79.85,241.0,253.14,Overprediction,12.139999999999986
Capa de Chuva,XGBoost,2.0,2.41,72.73,241.0,234.25,Underprediction,-6.75
Capacete LS2,Random Forest,0.52,0.74,73.12,29.0,37.12,Overprediction,8.119999999999997
Capacete LS2,XGBoost,0.43,0.72,86.42,29.0,19.88,Underprediction,-9.120000000000001
Capacete Pro Tork,Random Forest,1.51,1.97,43.22,189.0,178.87,Underprediction,-10.129999999999995
Capacete Pro Tork,XGBoost,1.51,1.95,45.53,189.0,165.28,Underprediction,-23.72
Carregador USB Moto,Random Forest,1.06,1.49,54.36,91.0,73.39,Underprediction,-17.61
Carregador USB Moto,XGBoost,1.06,1.5,59.47,91.0,68.2,Underprediction,-22.799999999999997
Intercomunicador,Random Forest,0.29,0.58,87.14,13.0,18.21,Overprediction,5.210000000000001
Intercomunicador,XGBoost,0.21,0.54,90.22,13.0,9.84,Underprediction,-3.16
Luva Motoboy,Random Forest,1.47,1.8,55.07,231.0,252.25,Overprediction,21.25
Luva Motoboy,XGBoost,1.45,1.79,53.64,231.0,254.27,Overprediction,23.27000000000001
Retrovisor Esportivo,Random Forest,0.74,0.99,50.8,58.0,60.98,Overprediction,2.979999999999997
Retrovisor Esportivo,XGBoost,0.75,1.0,58.22,58.0,54.24,Underprediction,-3.759999999999998
Suporte Celular Moto,Random Forest,1.85,2.38,73.32,312.0,329.91,Overprediction,17.910000000000025
Suporte Celular Moto,XGBoost,1.86,2.45,71.77,312.0,322.26,Overprediction,10.259999999999991
